station_code,samplingpoint_x,samplingpoint_y,station_altitude
DERP019,7.7673,49.44599999999999,232
DEMV058,13.2679,53.55879999999999,16
DEBB065,12.561389,52.194225,111
DEBB092,14.52596,52.33468,74
DEBE065,13.469930999999999,52.51407199999999,40
DEBB007,13.526796,51.462734000000005,89
DEBB049,12.548376,52.40930899999999,33
DEBY035,9.688869,47.55747299999999,411
DEHE022,8.244949,50.05034299999999,121
DENW053,6.884571,51.01933800000001,46
DENW134,7.0052759999999985,51.477899,50
DEHE059,9.684853999999998,50.550028000000005,277
DEHE020,8.500619,50.567185,152
DERP021,7.481378000000001,50.42468499999999,65
DEBW107,9.051178,48.50770299999999,325
DEBW010,8.700103000000002,49.300731,162
DEBW039,8.463597,48.048656,700
DEBW009,8.6767,49.419528,112
DEBY037,11.564924000000001,48.137252000000004,521
DEBY110,10.896221,48.37023700000001,485
DEBY063,12.101557000000001,49.015245,337
DENW207,6.09576,50.773126,168
DEHE013,9.483397,51.314248000000006,181
DENW114,7.231853999999999,51.277613,186
DEBE010,13.349325999999998,52.54304099999999,35
DEBW027,9.20732,48.48888699999999,385
DEBY012,12.829314,48.17717499999999,420
DEBY109,11.220172,47.96875299999999,700
DENW034,6.748363,51.524029999999996,17
DEBW031,7.764528000000001,47.80989199999999,904
DEBY039,11.554669,48.15453400000001,521
DEBY077,9.95642,49.80469499999999,226
DEBW076,8.220214,48.77307199999999,148
DEHB001,8.81578,53.077151,10
DEHH079,9.944815,53.54526899999999,25
DEHE037,8.230316,50.07719099999999,145
DEHH059,9.990569,53.50793,3
DEHE046,8.928171,51.430897,343
DEHB011,8.59876,53.585262,5
DEBB066,14.057064000000002,51.897597999999995,52
DENW383,8.534087,52.024158,113
DEBY001,10.572297,49.304889,400
DENW355,7.010934,51.03147299999999,49
DENW064,6.281007999999999,50.653234000000005,580
DEUB028,12.721938,54.436985,1
DEHE040,8.653744999999999,49.86945699999999,158
DEHE011,8.92157,50.13577,108
DEST103,11.632669,52.12076,53
DEHE116,8.784892,50.101494,108
DEBB064,14.334470000000001,51.746848,75
DEBE034,13.430844,52.489451,35
DEBE068,13.418833,52.513606,35
DERP003,8.425897,49.455508,98
DERP009,8.273978999999999,49.99501599999999,100
DEBY033,12.157051,48.539801,390
DEBY007,10.88837,48.37657600000001,477
DEHE028,8.817250999999999,49.653465000000004,484
DERP014,7.1934109999999984,49.740897,650
DESH022,9.438089999999999,54.78142999999999,15
DEBY009,10.887686,49.89833,231
DEUB001,8.308208,54.924967,12
DEHH015,10.021227,53.52326200000001,4
DEHE032,9.80026,50.97002399999999,204
DEHE060,9.031754,51.15484300000001,483
DETH041,11.597062,50.93351299999999,140
DENI011,10.473639999999998,52.22693999999999,98
DENI063,9.685030000000001,53.52418,3
DEHH070,9.943012,53.55566799999999,25
DEHH008,9.967882000000001,53.56414,15
DEBY099,10.903051,48.32601300000001,495
DERP001,8.402331,49.51495899999999,91
DEHE134,9.680167,50.546384,271
DEHE135,8.576305,50.075464000000004,94
DEBY118,13.422039000000002,48.573629,300
DENW059,6.985074000000001,50.889871,50
DEUB005,10.756733,52.80077299999999,74
DEBE056,13.64705,52.44769699999999,35
DEBY006,10.895029,48.364589,492
DEST098,11.043386,51.662435,419
DESL020,7.0031740000000005,49.23073999999999,192
DENI075,10.54055,52.26673,81
DEBY021,11.428766,48.769444,374
DESH056,9.363674000000001,54.616669,14
DEBB054,13.037474000000001,52.393932,31
